▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:4000
- Network:       http://26.121.213.200:4000
✓ Ready in 1797ms

 GET /deals/handoff?locale=en 200 in 122ms (next.js: 16ms, proxy.ts: 14ms, application-code: 92ms)
 GET /?locale=en 200 in 140ms (next.js: 43ms, proxy.ts: 6ms, application-code: 91ms)
 GET /?locale=en 200 in 69ms (next.js: 8ms, proxy.ts: 6ms, application-code: 55ms)
✓ Compiled in 83ms
 GET /?locale=en 200 in 307ms (next.js: 122ms, proxy.ts: 26ms, application-code: 160ms)
 GET /?locale=en 200 in 78ms (next.js: 25ms, proxy.ts: 10ms, application-code: 42ms)
 GET /?locale=en 200 in 189ms (next.js: 10ms, proxy.ts: 4ms, application-code: 176ms)
 GET /?locale=en 200 in 278ms (next.js: 146ms, proxy.ts: 19ms, application-code: 113ms)
✓ Compiled in 81ms
 GET /?locale=en 200 in 315ms (next.js: 130ms, proxy.ts: 21ms, application-code: 163ms)
 GET /?locale=en 200 in 80ms (next.js: 22ms, proxy.ts: 11ms, application-code: 46ms)
 GET /?locale=en 200 in 157ms (next.js: 6ms, proxy.ts: 3ms, application-code: 147ms)
✓ Compiled in 75ms
 GET /?locale=en 200 in 315ms (next.js: 111ms, proxy.ts: 15ms, application-code: 189ms)
 GET /?locale=en 200 in 111ms (next.js: 32ms, proxy.ts: 15ms, application-code: 64ms)
✓ Compiled in 91ms
 GET /?locale=en 200 in 298ms (next.js: 115ms, proxy.ts: 23ms, application-code: 160ms)
 GET /?locale=en 200 in 81ms (next.js: 22ms, proxy.ts: 10ms, application-code: 48ms)
✓ Compiled in 84ms
 GET /?locale=en 200 in 291ms (next.js: 110ms, proxy.ts: 17ms, application-code: 164ms)
 GET /?locale=en 200 in 87ms (next.js: 25ms, proxy.ts: 12ms, application-code: 51ms)
✓ Compiled in 157ms
 GET /?locale=en 200 in 550ms (next.js: 317ms, proxy.ts: 5ms, application-code: 228ms)
 GET /?locale=en 200 in 202ms (next.js: 27ms, proxy.ts: 25ms, application-code: 151ms)
 GET /?locale=en 200 in 170ms (next.js: 17ms, proxy.ts: 8ms, application-code: 145ms)
 GET /?locale=en 200 in 123ms (next.js: 22ms, proxy.ts: 9ms, application-code: 92ms)
 GET /?locale=en 200 in 71ms (next.js: 16ms, proxy.ts: 11ms, application-code: 44ms)
 GET /?locale=en 200 in 159ms (next.js: 7ms, proxy.ts: 3ms, application-code: 148ms)
 GET /?locale=en 200 in 78ms (next.js: 6ms, proxy.ts: 3ms, application-code: 69ms)
 GET /?locale=en 200 in 156ms (next.js: 7ms, proxy.ts: 6ms, application-code: 143ms)
 GET /?locale=en 200 in 123ms (next.js: 11ms, proxy.ts: 8ms, application-code: 104ms)
 GET /?locale=en 200 in 113ms (next.js: 10ms, proxy.ts: 5ms, application-code: 97ms)
 GET /?locale=en 200 in 103ms (next.js: 8ms, proxy.ts: 6ms, application-code: 89ms)
 GET /?locale=en 200 in 93ms (next.js: 6ms, proxy.ts: 5ms, application-code: 83ms)
 GET /?locale=en 200 in 161ms (next.js: 6ms, proxy.ts: 6ms, application-code: 148ms)
 GET /?locale=en 200 in 132ms (next.js: 6ms, proxy.ts: 6ms, application-code: 120ms)
 GET /?locale=en 307 in 569ms (next.js: 10ms, proxy.ts: 9ms, application-code: 550ms)
 GET /tasks/today?locale=en 200 in 764ms (next.js: 147ms, proxy.ts: 6ms, application-code: 611ms)
 GET /?locale=en 200 in 90ms (next.js: 9ms, proxy.ts: 5ms, application-code: 77ms)
 GET /?locale=en 200 in 71ms (next.js: 9ms, proxy.ts: 3ms, application-code: 59ms)
 POST /?locale=en 303 in 260ms (next.js: 12ms, proxy.ts: 6ms, application-code: 241ms)
  └─ ƒ loginStaffAction({}) in 141ms src/lib/staff-auth-actions.ts
 GET /tasks/today?locale=en 200 in 373ms (next.js: 10ms, proxy.ts: 4ms, application-code: 359ms)
 GET /tasks/today?locale=en 200 in 321ms (next.js: 31ms, proxy.ts: 25ms, application-code: 265ms)
 GET /tasks/today?locale=en&task=success 200 in 160ms (next.js: 6ms, proxy.ts: 3ms, application-code: 150ms)
 POST /tasks/today?locale=en 303 in 250ms (next.js: 7ms, proxy.ts: 5ms, application-code: 237ms)
  └─ ƒ quickAddTaskAction({}) in 64ms src/app/(staff)/tasks/today/actions.ts
 GET /tasks/today?locale=en&task=link-required 200 in 222ms (next.js: 8ms, proxy.ts: 3ms, application-code: 211ms)
 POST /tasks/today?locale=en&task=success 303 in 250ms (next.js: 7ms, proxy.ts: 7ms, application-code: 237ms)
  └─ ƒ quickAddTaskAction({}) in 0ms src/app/(staff)/tasks/today/actions.ts
 GET /tasks/today?locale=ar 200 in 252ms (next.js: 10ms, proxy.ts: 8ms, application-code: 234ms)
 GET /?locale=ar 200 in 63ms (next.js: 8ms, proxy.ts: 7ms, application-code: 48ms)
 POST /tasks/today?locale=ar 303 in 120ms (next.js: 10ms, proxy.ts: 10ms, application-code: 100ms)
  └─ ƒ logoutStaffAction({}) in 18ms src/lib/staff-auth-actions.ts
 GET /?locale=en 200 in 76ms (next.js: 8ms, proxy.ts: 4ms, application-code: 64ms)
 GET /?locale=en 200 in 58ms (next.js: 6ms, proxy.ts: 3ms, application-code: 48ms)
 POST /?locale=en 303 in 167ms (next.js: 7ms, proxy.ts: 5ms, application-code: 156ms)
  └─ ƒ loginStaffAction({}) in 84ms src/lib/staff-auth-actions.ts
 GET /tasks/today?locale=en 200 in 333ms (next.js: 6ms, proxy.ts: 4ms, application-code: 323ms)
 GET /tasks/today?locale=en 200 in 291ms (next.js: 21ms, proxy.ts: 20ms, application-code: 251ms)
 GET /tasks/today?locale=en 200 in 398ms (next.js: 6ms, proxy.ts: 4ms, application-code: 388ms)
